t,phase,z,vz,z_target,a_cmd,thrust_cmd,throttle,roll,pitch,yaw_deg,armed,vbat,amps,gate_seen,gate_el_deg,gate_rng,gate_dz
0.080,climb,-0.250,0.000,0.050,0.00,0.00,1250,1500,1500,86.0,1,24.44,1.9,0,,,
0.181,climb,-0.250,0.000,0.100,0.00,0.00,1250,1500,1500,86.0,1,24.13,17.4,0,,,
0.281,climb,-0.250,0.000,0.150,0.00,0.00,1250,1500,1500,86.0,1,23.84,22.8,0,,,
0.382,climb,-0.171,0.806,0.200,-0.76,9.04,1212,1500,1500,86.0,1,23.84,22.8,0,,,
0.482,climb,-0.082,1.093,0.250,-1.48,8.33,1198,1500,1500,86.0,1,23.70,21.8,0,,,
0.583,climb,0.028,1.225,0.300,-1.81,7.99,1192,1500,1500,86.0,1,23.70,16.4,0,,,
0.683,hold,0.170,1.081,1.200,-2.70,7.10,1174,1500,1500,86.0,1,23.70,16.4,0,,,
0.784,hold,0.251,0.814,1.200,-2.03,7.77,1187,1500,1500,86.0,1,23.77,12.1,0,,,
0.884,hold,0.314,0.317,1.200,-0.79,9.01,1212,1500,1500,86.0,1,23.79,11.5,0,,,
0.985,hold,0.431,0.137,1.200,-0.34,9.46,1221,1500,1500,86.0,1,23.79,11.5,0,,,
1.085,hold,0.430,-0.086,1.200,0.22,10.02,1232,1500,1500,86.0,1,23.73,14.6,0,,,
1.186,hold,0.416,-0.133,1.200,0.33,10.14,1234,1500,1500,86.0,1,23.65,17.1,0,,,
1.286,hold,0.509,0.008,1.200,-0.02,9.79,1227,1500,1500,86.0,1,23.65,17.1,0,,,
1.386,hold,0.511,0.025,1.200,-0.06,9.74,1226,1500,1500,86.0,1,23.58,17.6,0,,,
1.487,hold,0.514,0.029,1.200,-0.07,9.73,1226,1500,1500,87.0,1,23.56,16.8,0,,,
1.587,hold,0.601,0.146,1.200,-0.37,9.44,1220,1500,1500,86.0,1,23.56,16.8,0,,,
1.688,hold,0.612,0.115,1.200,-0.29,9.52,1222,1500,1500,86.0,1,23.53,17.0,0,,,
1.788,hold,0.621,0.057,1.200,-0.14,9.67,1225,1500,1500,86.0,1,23.53,16.5,0,,,
1.889,hold,0.683,0.102,1.200,-0.26,9.55,1222,1500,1500,86.0,1,23.53,16.5,0,,,
1.989,hold,0.690,0.063,1.200,-0.16,9.65,1224,1500,1500,86.0,1,23.51,16.5,0,,,
2.090,hold,0.693,0.012,1.200,-0.03,9.78,1227,1500,1500,86.0,1,23.51,17.0,0,,,
2.190,hold,0.713,0.008,1.200,-0.02,9.79,1227,1500,1500,86.0,1,23.51,17.0,0,,,
2.291,hold,0.712,-0.021,1.200,0.05,9.86,1229,1500,1500,86.0,1,23.49,17.6,0,,,
2.391,hold,0.710,-0.016,1.200,0.04,9.85,1228,1500,1500,86.0,1,23.48,17.5,0,,,
2.492,hold,0.722,0.011,1.200,-0.03,9.78,1227,1500,1500,86.0,1,23.48,17.5,0,,,
2.592,hold,0.723,0.023,1.200,-0.06,9.75,1226,1500,1500,86.0,1,23.46,17.7,0,,,
2.693,hold,0.727,0.031,1.200,-0.08,9.73,1226,1500,1500,86.0,1,23.46,17.9,0,,,
2.793,hold,0.699,-0.006,1.200,0.02,9.82,1228,1500,1500,86.0,1,23.46,17.9,0,,,
2.893,hold,0.699,0.008,1.200,-0.02,9.79,1227,1500,1500,86.0,1,23.46,17.6,0,,,
2.994,hold,0.703,0.043,1.200,-0.11,9.70,1225,1500,1500,86.0,1,23.44,17.4,0,,,
3.094,hold,0.644,-0.022,1.200,0.05,9.86,1229,1500,1500,86.0,1,23.44,17.4,0,,,
3.195,hold,0.645,0.022,1.200,-0.06,9.75,1226,1500,1500,86.0,1,23.43,17.3,0,,,
3.295,hold,0.652,0.092,1.200,-0.23,9.58,1223,1500,1500,86.0,1,23.43,17.8,0,,,
3.396,hold,0.588,0.025,1.200,-0.06,9.74,1226,1500,1500,86.0,1,23.43,17.8,0,,,
3.496,hold,0.593,0.059,1.200,-0.15,9.66,1225,1500,1500,86.0,1,23.44,17.0,0,,,
3.597,hold,0.601,0.072,1.200,-0.18,9.63,1224,1500,1500,86.0,1,23.43,17.1,0,,,
3.697,hold,0.565,0.014,1.200,-0.03,9.77,1227,1500,1500,86.0,1,23.43,17.1,0,,,
3.798,hold,0.566,0.013,1.200,-0.03,9.77,1227,1500,1500,86.0,1,23.43,17.3,0,,,
3.898,hold,0.567,0.007,1.200,-0.02,9.79,1227,1500,1500,86.0,1,23.41,17.6,0,,,
3.999,hold,0.553,-0.021,1.200,0.05,9.86,1229,1500,1500,86.0,1,23.41,17.6,0,,,
4.099,hold,0.550,-0.034,1.200,0.08,9.89,1229,1500,1500,86.0,1,23.39,17.6,0,,,
4.200,hold,0.556,-0.036,1.200,0.09,9.90,1229,1500,1500,86.0,1,23.58,9.1,0,,,
