t,phase_or_event,x,y,z,vx,vy,vz,yaw_deg,det_x,det_y,det_area,det_range,fixes,fix_res,rej,unm,cross_ev,cross_lat,cross_dz,fix_cx_sum,fix_al_sum,throttle,roll,pitch,yaw,arm,att_hz,rtt_ms,timeouts,cam_fps,vbat
0.080,ev0/lm0,0.87,-0.08,-0.25,0.06,0.00,0.00,89.9,-0.088,0.183,0.0898,7.71,3,0.39,0,0,-1,0.000,0.000,-2.025,-1.335,1250,1500,1500,1500,1800,33,9.9,0,60,24.39
0.181,ev0/lm0,0.94,-0.14,-0.26,0.00,0.00,0.00,89.9,-0.086,0.182,0.0900,7.78,5,0.08,0,0,-1,0.000,0.000,-2.199,-1.981,1250,1500,1500,1500,1800,33,10.4,0,60,24.29
0.282,ev0/lm0,0.95,-0.22,-0.27,-0.00,-0.00,0.00,89.9,-0.085,0.193,0.0904,7.71,8,0.04,0,0,-1,0.000,0.000,-2.204,-2.772,1250,1500,1500,1500,1800,33,10.8,0,60,23.84
0.382,ev0/lm0,0.95,-0.25,-0.27,0.00,0.00,0.00,89.9,-0.086,0.218,0.0910,7.63,10,0.02,0,0,-1,0.000,0.000,-2.204,-2.998,1250,1500,1500,1500,1800,33,9.6,0,60,23.84
0.483,ev0/lm0,0.96,-0.27,-0.27,0.00,0.00,0.00,90.0,-0.087,0.237,0.0920,7.60,13,0.01,0,0,-1,0.000,0.000,-2.216,-3.198,1250,1500,1500,1500,1800,33,10.8,0,60,23.68
0.584,ev0/lm0,0.96,-0.27,-0.40,0.00,0.00,0.00,90.0,-0.083,0.267,0.0933,7.60,15,0.01,0,0,-1,0.000,0.000,-2.209,-3.237,1250,1500,1500,1500,1800,33,13.7,0,60,23.56
0.684,ev0/lm0,0.94,-0.26,-0.53,-0.00,-0.00,0.00,90.0,-0.082,0.307,0.0948,7.51,18,0.02,0,0,-1,0.000,0.000,-2.165,-3.130,1250,1500,1500,1500,1800,33,9.3,0,60,23.56
0.785,ev0,0.94,-0.26,-0.22,0.00,0.00,0.00,91.0,-0.076,0.349,0.0964,7.53,18,0.02,0,2,-1,0.000,0.000,-2.165,-3.130,1250,1500,1500,1500,1800,33,11.1,0,60,23.48
0.885,ev0/lm0,1.04,-0.23,0.19,0.02,0.01,3.46,91.0,-0.074,0.394,0.0981,7.46,21,0.04,0,2,-1,0.000,0.000,-2.399,-2.911,1056,1135,1611,1500,1800,33,11.5,0,60,23.41
0.985,ev0/lm0,1.03,-0.19,0.72,-0.00,0.04,3.62,90.0,-0.075,0.426,0.0997,7.39,23,0.04,0,2,-1,0.000,0.000,-2.383,-2.554,1056,1131,1588,1500,1800,33,9.8,0,60,23.41
