t,phase_or_event,x,y,z,vx,vy,vz,yaw_deg,det_x,det_y,det_area,det_range,fixes,fix_res,rej,unm,cross_ev,cross_lat,cross_dz,fix_cx_sum,fix_al_sum,throttle,roll,pitch,yaw,arm,att_hz,rtt_ms,timeouts,cam_fps,vbat,el_deg,vert_live,commit_why,alt_gated,alt_rejected,cam_rej
0.080,ev0/lm0,0.29,-0.11,-0.33,0.02,-0.00,0.00,91.0,0.037,-0.350,0.0896,7.65,3,0.12,0,0,-1,0.000,0.000,-0.693,-1.025,1250,1500,1500,1500,1800,33,9.4,0,51,24.48,20.32,1,-,0,0,3
0.181,ev0/lm0,0.30,-0.17,-0.33,0.00,0.00,0.00,91.0,0.035,-0.356,0.0895,7.65,5,0.05,0,0,-1,0.000,0.000,-0.710,-1.589,1250,1500,1500,1500,1800,33,12.1,0,51,24.48,19.58,1,-,0,0,3
0.281,ev0/lm0,0.27,-0.23,-0.53,-0.00,0.00,0.00,91.0,0.042,-0.393,0.0902,7.60,8,0.02,0,0,-1,0.000,0.000,-0.637,-2.138,1250,1500,1500,1500,1800,33,11.3,0,51,23.99,20.08,1,-,0,1,3
0.382,ev0/lm0,0.25,-0.24,-0.73,0.00,0.00,0.00,91.0,0.042,-0.381,0.0907,7.57,10,0.02,0,0,-1,0.000,0.000,-0.604,-2.293,1250,1500,1500,1500,1800,33,10.5,0,51,23.82,19.68,1,-,0,3,3
0.483,ev0/lm0,0.24,-0.27,-0.84,-0.00,0.00,0.00,91.0,0.045,-0.357,0.0915,7.65,13,0.02,0,0,-1,0.000,0.000,-0.576,-2.576,1250,1500,1500,1500,1800,33,11.2,0,52,23.82,18.82,1,-,0,8,3
0.583,ev0/lm0,0.24,-0.28,-0.99,0.00,0.00,0.00,91.0,0.047,-0.317,0.0924,7.62,15,0.01,0,0,-1,0.000,0.000,-0.573,-2.663,1250,1500,1500,1500,1800,33,10.6,0,52,23.71,17.84,1,-,0,9,3
0.684,ev0/lm0,0.25,-0.28,-1.09,0.00,-0.00,0.00,91.0,0.044,-0.260,0.0927,7.52,18,0.02,0,0,-1,0.000,0.000,-0.601,-2.624,1250,1500,1500,1500,1800,33,10.2,0,52,23.61,16.36,1,-,0,11,3
0.785,ev0/lm0,0.25,-0.25,-0.93,0.00,0.00,0.00,91.0,0.046,-0.197,0.0935,7.45,20,0.02,0,0,-1,0.000,0.000,-0.607,-2.424,1250,1500,1500,1500,1800,33,11.2,0,52,23.61,14.83,1,-,0,15,3
0.885,ev0/lm0,0.25,-0.22,0.18,-0.03,0.03,9.18,91.0,0.046,-0.110,0.0954,7.45,23,0.01,0,0,-1,0.000,0.000,-0.608,-2.146,1032,1319,1745,1500,1800,33,11.9,0,52,23.56,12.69,1,-,0,16,3
0.986,ev0/lm0,0.25,-0.20,1.11,-0.05,0.06,5.87,91.0,0.047,-0.040,0.0963,7.42,25,0.01,0,0,-1,0.000,0.000,-0.620,-1.991,1027,1333,1722,1500,1800,33,9.9,0,52,23.49,11.07,1,-,0,16,3
1.086,ev0/lm0,0.33,-0.12,1.60,-0.11,0.16,5.02,90.0,0.045,-0.229,0.0962,6.92,28,0.13,0,0,-1,0.000,0.000,-0.806,-1.240,1018,1316,1587,1500,1800,33,11.4,0,52,23.49,4.36,1,-,0,16,4
1.187,ev0,0.31,-0.09,1.93,-0.21,0.28,4.20,89.0,0.078,-0.517,0.0999,6.27,28,0.13,0,2,-1,0.000,0.000,-0.806,-1.240,1011,1411,1460,1500,1800,33,12.4,0,52,23.46,7.93,1,-,0,16,4
1.287,ev0,0.28,-0.06,2.06,-0.30,0.37,3.08,90.0,0.096,-0.388,0.1004,6.11,28,0.13,0,5,-1,0.000,0.000,-0.806,-1.240,1014,1521,1355,1500,1800,33,10.1,0,52,23.64,8.39,1,-,0,16,4
1.387,ev0,0.25,-0.02,2.06,-0.35,0.41,1.86,93.0,0.090,-0.028,0.1013,6.28,28,0.13,0,7,-1,0.000,0.000,-0.806,-1.240,1101,1534,1419,1517,1800,33,11.1,0,52,23.64,9.89,1,-,0,16,4
1.489,ev0/lm0,0.27,0.27,2.04,-0.36,0.41,0.75,94.0,0.103,0.349,0.1084,6.56,31,0.09,0,7,-1,0.000,0.000,-0.903,1.224,1210,1512,1412,1520,1800,33,12.5,0,58,23.80,7.45,1,-,0,16,4
1.589,ev0/lm0,0.14,0.37,2.00,-0.40,0.39,0.03,94.0,0.118,0.438,0.1100,6.82,33,0.07,0,7,-1,0.000,0.000,-0.710,1.737,1268,1528,1423,1524,1800,33,9.8,0,58,23.75,6.80,1,-,0,16,4
1.689,ev0/lm0,0.00,0.43,1.98,-0.45,0.32,-0.17,93.0,0.122,0.435,0.1116,6.92,36,0.06,0,7,-1,0.000,0.000,-0.490,1.880,1285,1549,1430,1525,1800,33,10.5,0,58,23.75,7.27,1,-,0,16,4
1.790,ev0/lm0,-0.04,0.45,2.12,-0.45,0.17,0.37,93.0,0.133,0.399,0.1105,6.92,38,0.01,0,7,-1,0.000,0.000,-0.497,1.893,1243,1565,1433,1526,1800,33,12.2,0,58,23.56,7.83,1,-,0,17,4
1.890,ev0,-0.13,0.46,2.30,-0.39,-0.01,1.04,92.0,0.135,0.362,0.1103,6.77,40,0.08,0,8,-1,0.000,0.000,-0.396,1.905,1191,1595,1442,1525,1800,33,10.9,0,58,23.49,8.30,1,-,0,19,4
1.991,ev0,-0.16,0.45,2.18,-0.27,-0.16,1.04,91.0,0.132,0.344,0.1091,6.69,40,0.08,0,10,-1,0.000,0.000,-0.396,1.905,1188,1582,1471,1522,1800,33,10.8,0,58,23.49,7.98,1,-,0,19,4
2.092,ev0/lm0,-0.24,0.52,1.99,-0.17,-0.23,0.71,91.0,0.126,0.314,0.1075,6.54,43,0.08,0,10,-1,0.000,0.000,-0.248,2.703,1212,1516,1553,1525,1800,33,10.9,0,58,23.60,7.68,1,-,0,19,4
2.192,ev0/lm0,-0.24,0.54,1.81,-0.07,-0.25,-0.31,91.0,0.117,0.214,0.1051,6.65,45,0.04,0,10,-1,0.000,0.000,-0.256,3.197,1288,1509,1537,1525,1800,33,12.6,0,58,23.63,4.92,1,-,0,19,4
2.293,ev0/lm0,-0.18,0.48,1.67,0.02,-0.21,-0.42,91.0,0.094,-0.007,0.1005,7.09,47,0.09,0,11,-1,0.000,0.000,-0.402,2.899,1288,1507,1538,1523,1800,33,9.4,0,58,23.63,8.56,1,-,0,19,4
