trial,entry_vz_target,entry_vz_actual,strategy,axis,throttle_cut_time,horizon_crossing_time,peak_down_vz,trigger_alt,min_floor_clearance,delta_z_loss,max_actuator_saturation_ms,arrested,outcome
rec_10_continuous_roll,10.0,10.605649214219085,continuous,roll,,0.5531351566314697,13.412499467097234,119.32817840576172,115.1683349609375,4.159843444824219,72.0,True,completed
rec_10_continuous_pitch,10.0,10.189114506840891,continuous,pitch,,0.5531585216522217,11.279241054036515,118.91898345947266,116.35081481933594,2.5681686401367188,160.0,True,completed
rec_10_snap_roll,10.0,10.706934923432334,snap,roll,0.4072554111480713,0.5380699634552002,13.497424908541168,119.36710357666016,115.17520904541016,4.19189453125,68.0,True,completed
rec_10_snap_pitch,10.0,10.343035735532368,snap,pitch,0.4277231693267822,0.5099208354949951,11.620474362117768,119.21359252929688,116.29367065429688,2.919921875,124.0,True,completed
rec_15_continuous_roll,15.0,15.45248994689673,continuous,roll,,0.6092982292175293,17.415650281303282,118.32109069824219,112.15333557128906,6.167755126953125,108.0,True,completed
rec_15_continuous_pitch,15.0,15.218857704071688,continuous,pitch,,0.6556499004364014,16.124045457644176,117.50101470947266,112.65675354003906,4.844261169433594,260.0,True,completed
rec_15_snap_roll,15.0,15.021655001223568,snap,roll,0.5024747848510742,0.6367900371551514,17.02786440594379,118.32485961914062,112.32081604003906,6.0040435791015625,84.0,True,completed
rec_15_snap_pitch,15.0,15.28171939026463,snap,pitch,0.6786468029022217,0.7598505020141602,15.7988526997687,116.3026351928711,112.29109191894531,4.011543273925781,340.0,True,completed
rec_20_continuous_roll,20.0,20.010028949675362,continuous,roll,,0.7316617965698242,20.888860014666758,116.63118743896484,108.60738372802734,8.0238037109375,156.0,True,completed
rec_20_continuous_pitch,20.0,20.262505927713136,continuous,pitch,,0.8321635723114014,20.564884385754517,114.2401351928711,107.98722076416016,6.2529144287109375,412.0,True,completed
rec_20_snap_roll,20.0,20.509706465866966,snap,roll,0.6032092571258545,0.7491409778594971,21.284981261750822,116.32929229736328,108.13359069824219,8.195701599121094,180.0,True,completed
rec_20_snap_pitch,20.0,20.148906141170684,snap,pitch,0.9926974773406982,1.0755136013031006,20.255397700115665,110.54183197021484,105.50369262695312,5.038139343261719,612.0,True,completed
rec_25_continuous_roll,25.0,25.319908572989796,continuous,roll,,0.8619749546051025,25.71470706776471,113.61300659179688,103.09780883789062,10.51519775390625,284.0,True,completed
rec_25_continuous_pitch,25.0,25.01654816727675,continuous,pitch,,2.2212698459625244,25.03613901528105,83.9999008178711,76.99540710449219,7.004493713378906,1624.0,True,completed
rec_25_snap_roll,25.0,25.119071133868292,snap,roll,0.7039403915405273,0.8563604354858398,25.541371109203485,113.76212310791016,103.34130859375,10.420814514160156,272.0,True,completed
rec_25_snap_pitch,25.0,25.03999536459634,snap,pitch,1.0292370319366455,1.1354820728302002,25.20162144415761,107.69904327392578,99.53285217285156,8.166191101074219,672.0,True,completed
rec_30_continuous_roll,30.0,30.09191984495471,continuous,roll,,1.0290541648864746,30.40106951712659,108.96732330322266,95.96868896484375,12.998634338378906,576.0,True,completed
rec_30_continuous_pitch,30.0,30.0093903709078,continuous,pitch,,2.3280081748962402,30.025887377158192,73.71754455566406,63.57900619506836,10.138538360595703,1712.0,True,completed
rec_30_snap_roll,30.0,30.21024871863502,snap,roll,0.8899490833282471,1.0655536651611328,30.512262984426794,108.72277069091797,95.5833969116211,13.139373779296875,588.0,True,completed
rec_30_snap_pitch,30.0,30.013201165198566,snap,pitch,2.207515001296997,2.318481683731079,30.02996833446756,74.10122680664062,63.82476806640625,10.276458740234375,1712.0,True,completed
rec_35_continuous_roll,35.0,35.08727177483658,continuous,roll,,1.4136347770690918,35.18613267470537,96.8334732055664,81.4924087524414,15.341064453125,916.0,True,completed
rec_35_continuous_pitch,35.0,31.20719299396493,continuous,pitch,,4.465179920196533,31.20951268180019,7.964242935180664,0.7468652129173279,7.217377722263336,3576.0,False,floor
rec_35_snap_roll,35.0,35.10223467017406,snap,roll,1.257321834564209,1.4313018321990967,35.10223467017406,96.79448699951172,81.71833038330078,15.076156616210938,904.0,True,completed
rec_35_snap_pitch,35.0,31.20945919133794,snap,pitch,4.360334873199463,4.466677904129028,31.211691618929436,7.785073280334473,0.8515868782997131,6.9334864020347595,3588.0,False,floor
