t,regime,gate_id,offx_raw,offx_sm,offy_sm,dist,des_roll,des_climb,lean,roll,alt
0.004,BUILDING-PATH,-1,0.000,0.019,-0.017,23.4,0.000,0.00,0.000,0.000,-0.0
0.008,BUILDING-PATH,-1,0.000,0.019,-0.017,23.4,0.000,0.00,0.000,0.000,-0.0
0.012,BUILDING-PATH,-1,0.000,0.019,-0.017,23.4,0.000,0.00,0.000,0.000,-0.0
0.016,BUILDING-PATH,-1,0.000,0.019,-0.017,23.4,0.000,0.00,0.000,0.000,-0.0
0.020,BUILDING-PATH,-1,0.000,0.019,-0.017,23.4,0.000,0.00,0.000,0.000,-0.0
0.024,BUILDING-PATH,-1,0.000,0.019,-0.017,22.2,0.000,0.00,0.000,0.000,-0.0
0.028,BUILDING-PATH,-1,0.000,0.019,-0.017,22.2,0.000,0.00,0.000,0.000,-0.0
0.032,BUILDING-PATH,-1,0.000,0.019,-0.017,22.2,0.000,0.00,0.000,0.000,-0.0
0.036,BUILDING-PATH,-1,0.000,0.019,-0.019,22.2,0.000,0.00,0.000,0.000,-0.0
0.040,BUILDING-PATH,-1,0.000,0.019,-0.019,22.2,0.000,0.00,0.000,0.000,-0.0
0.044,BUILDING-PATH,-1,0.000,0.019,-0.019,22.2,0.000,0.00,0.000,0.000,-0.0
0.048,BUILDING-PATH,-1,0.000,0.019,-0.019,22.2,0.000,0.00,0.000,0.000,-0.0
0.052,BUILDING-PATH,-1,0.000,0.020,-0.019,22.2,0.000,0.00,0.000,0.000,-0.0
0.056,BUILDING-PATH,-1,0.000,0.020,-0.019,22.2,0.000,0.00,0.000,0.000,-0.0
0.060,BUILDING-PATH,-1,0.000,0.020,-0.019,22.2,0.000,0.00,0.000,0.000,-0.0
0.064,BUILDING-PATH,-1,0.000,0.019,-0.036,22.2,0.000,0.00,0.000,0.000,-0.0
0.068,BUILDING-PATH,-1,0.000,0.019,-0.036,22.2,0.000,0.00,0.000,0.000,-0.0
0.072,BUILDING-PATH,-1,0.000,0.019,-0.036,22.2,0.000,0.00,0.000,0.000,-0.0
0.076,BUILDING-PATH,-1,0.000,0.019,-0.036,22.2,0.000,0.00,0.000,0.000,-0.0
0.080,BUILDING-PATH,-1,0.000,0.019,-0.036,22.2,0.000,0.00,0.000,0.000,-0.0
0.084,BUILDING-PATH,-1,0.000,0.020,-0.025,22.2,0.000,0.00,0.000,0.000,-0.0
0.088,BUILDING-PATH,-1,0.000,0.020,-0.025,22.2,0.000,0.00,0.000,0.000,-0.0
0.092,BUILDING-PATH,-1,0.000,0.020,-0.025,22.2,0.000,0.00,0.000,0.000,-0.0
0.096,BUILDING-PATH,-1,0.000,0.020,-0.025,22.2,0.000,0.00,0.000,0.000,-0.0
0.100,BUILDING-PATH,-1,0.000,0.020,-0.025,22.2,0.000,0.00,0.000,0.000,-0.0
0.104,BUILDING-PATH,-1,0.000,0.020,-0.025,22.2,0.000,0.00,0.000,0.000,-0.0
0.108,BUILDING-PATH,-1,0.000,0.020,-0.022,22.2,0.000,0.00,0.000,0.000,-0.0
0.112,BUILDING-PATH,-1,0.000,0.020,-0.022,22.2,0.000,0.00,0.000,0.000,-0.0
0.116,BUILDING-PATH,-1,0.000,0.020,-0.022,22.2,0.000,0.00,0.000,0.000,-0.0
0.120,BUILDING-PATH,-1,0.000,0.020,-0.022,22.2,0.000,0.00,0.000,0.000,-0.0
0.124,BUILDING-PATH,-1,0.000,0.020,-0.022,22.2,0.000,0.00,0.000,0.000,-0.0
0.128,BUILDING-PATH,-1,0.000,0.020,-0.022,22.2,0.000,0.00,0.000,0.000,-0.0
0.132,BUILDING-PATH,-1,0.000,0.020,-0.022,22.2,0.000,0.00,0.000,0.000,-0.0
0.136,BUILDING-PATH,-1,0.000,0.020,-0.022,22.2,0.000,0.00,0.000,0.000,-0.0
0.140,BUILDING-PATH,-1,0.000,0.020,-0.022,22.2,0.000,0.00,0.000,0.000,-0.0
0.144,BUILDING-PATH,-1,0.000,0.020,-0.022,22.2,0.000,0.00,0.000,0.000,-0.0
0.148,BUILDING-PATH,-1,0.000,0.020,-0.022,22.2,0.000,0.00,0.000,0.000,-0.0
0.152,BUILDING-PATH,-1,0.000,0.020,-0.022,22.2,0.000,0.00,0.000,0.000,-0.0
0.156,BUILDING-PATH,-1,0.000,0.020,-0.022,22.2,0.000,0.00,0.000,0.000,-0.0
0.160,BUILDING-PATH,-1,0.000,0.020,-0.022,22.2,0.000,0.00,0.000,0.000,-0.0
0.164,BUILDING-PATH,-1,0.000,0.020,-0.022,22.2,0.000,0.00,0.000,0.000,-0.0
0.168,BUILDING-PATH,-1,0.000,0.020,-0.022,22.2,0.000,0.00,0.000,0.000,-0.0
0.172,BUILDING-PATH,-1,0.000,0.020,-0.022,22.2,0.000,0.00,0.000,0.000,-0.0
0.176,BUILDING-PATH,-1,0.000,0.020,-0.022,22.2,0.000,0.00,0.000,0.000,-0.0
0.180,BUILDING-PATH,-1,0.000,0.020,-0.022,22.2,0.000,0.00,0.000,0.000,-0.0
0.184,BUILDING-PATH,-1,0.000,0.020,-0.022,22.2,0.000,0.00,0.000,0.000,-0.0
0.188,BUILDING-PATH,-1,0.000,0.020,-0.019,22.2,0.000,0.00,0.000,0.000,-0.0
0.192,BUILDING-PATH,-1,0.000,0.020,-0.019,22.2,0.000,0.00,0.000,0.000,-0.0
0.196,BUILDING-PATH,-1,0.000,0.020,-0.019,22.2,0.000,0.00,0.000,0.000,-0.0
0.200,BUILDING-PATH,-1,0.000,0.020,-0.022,22.2,0.000,0.00,0.000,0.000,-0.0
0.204,BUILDING-PATH,-1,0.000,0.020,-0.022,22.2,0.000,0.00,0.000,0.000,-0.0
0.208,BUILDING-PATH,-1,0.000,0.020,-0.022,22.2,0.000,0.00,0.000,0.000,-0.0
0.212,BUILDING-PATH,-1,0.000,0.020,-0.019,22.2,0.000,0.00,0.000,0.000,-0.0
0.216,BUILDING-PATH,-1,0.000,0.020,-0.019,22.2,0.000,0.00,0.000,0.000,-0.0
0.220,BUILDING-PATH,-1,0.000,0.020,-0.019,22.2,0.000,0.00,0.000,0.000,-0.0
0.224,BUILDING-PATH,-1,0.000,0.020,-0.019,22.2,0.000,0.00,0.000,0.000,-0.0
0.228,BUILDING-PATH,-1,0.000,0.020,-0.019,22.2,0.000,0.00,0.000,0.000,-0.0
0.232,BUILDING-PATH,-1,0.000,0.020,-0.014,22.2,0.000,0.00,0.000,0.000,-0.0
0.236,BUILDING-PATH,-1,0.000,0.020,-0.014,22.2,0.000,0.00,0.000,0.000,-0.0
0.240,BUILDING-PATH,-1,0.000,0.020,-0.019,22.2,0.000,0.00,0.000,0.000,-0.0
0.244,BUILDING-PATH,-1,0.000,0.020,-0.019,22.2,0.000,0.00,0.000,0.000,-0.0
0.248,BUILDING-PATH,-1,0.000,0.020,-0.019,22.2,0.000,0.00,0.000,0.000,-0.0
0.252,BUILDING-PATH,-1,0.000,0.019,-0.019,22.7,0.000,0.00,0.000,0.000,-0.0
0.256,BUILDING-PATH,-1,0.000,0.019,-0.019,22.7,0.000,0.00,0.000,0.000,-0.0
0.260,BUILDING-PATH,-1,0.000,0.019,-0.019,22.7,0.000,0.00,0.000,0.000,-0.0
0.264,BUILDING-PATH,-1,0.000,0.019,-0.025,22.7,0.000,0.00,0.000,0.000,-0.0
0.268,BUILDING-PATH,-1,0.000,0.019,-0.025,22.7,0.000,0.00,0.000,0.000,-0.0
0.272,BUILDING-PATH,-1,0.000,0.019,-0.025,22.7,0.000,0.00,0.000,0.000,-0.0
0.276,BUILDING-PATH,-1,0.000,0.019,-0.025,22.7,0.000,0.00,0.000,0.000,-0.0
0.280,BUILDING-PATH,-1,0.000,0.019,-0.025,22.2,0.000,0.00,0.000,0.000,-0.0
0.284,BUILDING-PATH,-1,0.000,0.019,-0.025,22.2,0.000,0.00,0.000,0.000,-0.0
0.288,BUILDING-PATH,-1,0.000,0.019,-0.025,22.2,0.000,0.00,0.000,0.000,-0.0
0.292,BUILDING-PATH,-1,0.000,0.019,-0.025,22.2,0.000,0.00,0.000,0.000,-0.0
0.296,BUILDING-PATH,-1,0.000,0.019,-0.036,22.2,0.000,0.00,0.000,0.000,-0.0
0.300,BUILDING-PATH,-1,0.000,0.019,-0.036,22.2,0.000,0.00,0.000,0.000,-0.0
0.304,BUILDING-PATH,-1,0.000,0.019,-0.036,22.2,0.000,0.00,0.000,0.000,-0.0
0.308,BUILDING-PATH,-1,0.000,0.019,-0.042,22.2,0.000,0.00,0.000,0.000,-0.0
0.312,BUILDING-PATH,-1,0.000,0.019,-0.042,22.2,0.000,0.00,0.000,0.000,-0.0
0.316,BUILDING-PATH,-1,0.000,0.019,-0.042,22.2,0.000,0.00,0.000,0.000,-0.0
0.320,BUILDING-PATH,-1,0.000,0.019,-0.044,22.2,0.000,0.00,0.000,0.000,-0.0
0.324,BUILDING-PATH,-1,0.000,0.019,-0.044,22.2,0.000,0.00,0.000,0.000,-0.0
0.328,BUILDING-PATH,-1,0.000,0.019,-0.036,22.2,0.000,0.00,0.000,0.000,-0.0
0.332,BUILDING-PATH,-1,0.000,0.019,-0.036,22.2,0.000,0.00,0.000,0.000,-0.0
0.336,BUILDING-PATH,-1,0.000,0.019,-0.036,22.2,0.000,0.00,0.000,0.000,-0.0
0.340,BUILDING-PATH,-1,0.000,0.019,-0.036,22.2,0.000,0.00,0.000,0.000,-0.0
0.344,BUILDING-PATH,-1,0.000,0.019,-0.036,22.2,0.000,0.00,0.000,0.000,-0.0
0.348,BUILDING-PATH,-1,0.000,0.019,-0.036,22.2,0.000,0.00,0.000,0.000,-0.0
0.352,BUILDING-PATH,-1,0.000,0.020,-0.036,22.2,0.000,0.00,0.000,0.000,-0.0
0.356,BUILDING-PATH,-1,0.000,0.020,-0.036,22.2,0.000,0.00,0.000,0.000,-0.0
0.360,BUILDING-PATH,-1,0.000,0.020,-0.036,22.2,0.000,0.00,0.000,0.000,-0.0
0.364,BUILDING-PATH,-1,0.000,0.020,-0.025,22.2,0.000,0.00,0.000,0.000,-0.0
0.368,BUILDING-PATH,-1,0.000,0.020,-0.025,22.2,0.000,0.00,0.000,0.000,-0.0
0.372,BUILDING-PATH,-1,0.000,0.020,-0.025,22.2,0.000,0.00,0.000,0.000,-0.0
0.376,BUILDING-PATH,-1,0.000,0.020,-0.025,22.2,0.000,0.00,0.000,0.000,-0.0
0.380,BUILDING-PATH,-1,0.000,0.020,-0.025,22.2,0.000,0.00,0.000,0.000,-0.0
