t,regime,gate_id,offx_raw,offx_sm,offy_sm,dist,des_roll,des_climb,lean,roll,alt
0.004,V-TRACK 0%,-1,-0.003,-0.003,0.269,19.6,0.013,0.00,0.010,-0.000,-0.0
0.008,V-TRACK 0%,-1,-0.003,-0.003,0.269,19.6,0.013,0.00,0.020,-0.000,-0.0
0.012,V-TRACK 0%,-1,-0.003,-0.003,0.269,19.6,0.013,0.00,0.030,-0.000,-0.0
0.016,V-TRACK 0%,-1,-0.002,-0.002,0.269,19.6,0.013,0.00,0.040,-0.000,-0.0
0.020,V-TRACK 0%,-1,-0.002,-0.002,0.269,19.6,0.013,0.00,0.050,-0.000,-0.0
0.024,V-TRACK 0%,-1,-0.002,-0.002,0.269,19.6,0.013,0.00,0.060,-0.000,-0.0
0.028,V-TRACK 0%,-1,-0.002,-0.002,0.269,19.6,0.013,0.00,0.070,-0.000,-0.0
0.032,V-TRACK 0%,-1,-0.006,-0.004,0.269,19.6,0.013,0.00,0.080,-0.000,-0.0
0.036,V-TRACK 0%,-1,-0.006,-0.005,0.269,19.6,0.013,0.00,0.090,-0.000,-0.0
0.040,V-TRACK 0%,-1,-0.006,-0.006,0.269,19.6,0.013,0.00,0.100,-0.000,-0.0
0.044,V-TRACK 0%,-1,-0.006,-0.006,0.269,19.6,0.013,0.00,0.110,-0.000,-0.0
0.048,V-TRACK 0%,-1,-0.006,-0.006,0.269,19.6,0.013,0.00,0.120,-0.000,-0.0
0.052,V-TRACK 0%,-1,-0.006,-0.006,0.269,19.6,0.013,0.00,0.130,-0.000,-0.0
0.056,V-TRACK 0%,-1,-0.006,-0.006,0.269,19.6,0.013,0.00,0.140,-0.000,-0.0
0.060,V-TRACK 0%,-1,-0.006,-0.006,0.269,19.6,0.013,0.00,0.150,-0.000,-0.0
0.064,V-TRACK 0%,-1,-0.006,-0.006,0.269,19.6,0.013,0.00,0.160,-0.000,-0.0
0.068,V-TRACK 0%,-1,-0.006,-0.006,0.269,19.6,0.013,0.00,0.170,-0.000,-0.0
0.072,V-TRACK 0%,-1,-0.006,-0.006,0.269,19.6,0.013,0.00,0.180,-0.000,-0.0
0.076,V-TRACK 0%,-1,-0.006,-0.006,0.269,19.6,0.013,0.00,0.190,-0.000,-0.0
0.080,V-TRACK 0%,-1,-0.006,-0.006,0.269,19.6,0.013,0.00,0.200,-0.000,-0.0
0.084,V-TRACK 0%,-1,-0.006,-0.006,0.269,19.6,0.013,0.00,0.210,-0.000,-0.0
0.088,V-TRACK 0%,-1,-0.006,-0.006,0.269,19.6,0.013,0.00,0.220,-0.000,-0.0
0.092,V-TRACK 0%,-1,-0.006,-0.006,0.269,19.6,0.013,0.00,0.230,-0.000,-0.0
0.096,V-TRACK 0%,-1,-0.006,-0.006,0.269,19.6,0.013,0.00,0.240,-0.000,-0.0
0.100,V-TRACK 0%,-1,-0.006,-0.006,0.269,19.6,0.013,0.00,0.250,-0.000,-0.0
0.104,V-TRACK 0%,-1,-0.006,-0.006,0.269,19.6,0.013,0.00,0.260,-0.000,-0.0
0.108,V-TRACK 0%,-1,-0.006,-0.006,0.269,19.6,0.013,0.00,0.270,-0.000,-0.0
0.112,V-TRACK 0%,-1,-0.006,-0.006,0.269,19.6,0.013,0.00,0.280,-0.000,-0.0
0.116,V-TRACK 0%,-1,-0.006,-0.006,0.269,19.6,0.013,0.00,0.290,-0.000,-0.0
0.120,V-TRACK 0%,-1,-0.006,-0.006,0.269,19.6,0.013,0.00,0.300,-0.000,-0.0
0.124,V-TRACK 0%,-1,-0.006,-0.006,0.269,19.6,0.014,-0.01,0.310,-0.000,-0.0
0.128,V-TRACK 0%,-1,-0.006,-0.006,0.299,19.4,0.014,-0.01,0.320,-0.000,-0.0
0.132,V-TRACK 0%,-1,-0.006,-0.006,0.313,19.3,0.014,-0.01,0.330,-0.000,-0.0
0.136,V-TRACK 0%,-1,-0.006,-0.006,0.320,19.3,0.014,-0.14,0.340,0.013,0.0
